MARANHAO;SANTO ANTONIO DOS LOPES;Restrição Judical;2
MINAS GERAIS;FERVEDOURO;Arrendamento;5
PARA;TRAIRAO;Arrendamento;3
CEARA;SOLONOPOLE;Penhor ;11
MINAS GERAIS;BIQUINHAS;Arrendamento;1
BAHIA;NORDESTINA;Reserva de Domínio;1
SANTA CATARINA;IBICARE;Penhor ;4
MINAS GERAIS;SANTA ROSA DA SERRA;Reserva de Domínio;2
MINAS GERAIS;BOM JESUS DO AMPARO;Arrendamento;1
MATO GROSSO DO SUL;TERENOS;Penhor ;23
AMAZONAS;MARAA;Arrendamento;1
RIO GRANDE DO NORTE;SITIO NOVO;Reserva de Domínio;2
PARANA;XAMBRE;Penhor ;7
ESPIRITO SANTO;MARATAIZES;Penhor ;11
RIO DE JANEIRO;ARMACAO DOS BUZIOS;Restrição Beneficiário Tributário;42
RIO GRANDE DO NORTE;SAO PEDRO;Reserva de Domínio;2
RIO DE JANEIRO;CASIMIRO DE ABREU;Restrição Beneficiário Tributário;26
SANTA CATARINA;LONTRAS;Penhor ;3
MINAS GERAIS;TAPIRA;Penhor ;2
ALAGOAS;JUNDIA;Penhor ;1
GOIAS;SAO SIMAO;Restrição Beneficiário Tributário;52
MATO GROSSO DO SUL;LAGUNA CARAPA;Penhor ;30
RIO GRANDE DO SUL;SAO MARTINHO DA SERRA;Penhor ;11
RONDONIA;VALE DO ANARI;Penhor ;3
PARANA;SANTA MARIA DO OESTE;Penhor ;12
CEARA;BARRO;Penhor ;9
RIO GRANDE DO SUL;IVORA;Penhor ;7
BAHIA;IPECAETA;Restrição Beneficiário Tributário;1
MINAS GERAIS;CONCEICAO DOS OUROS;Restrição Beneficiário Tributário;5
SANTA CATARINA;IRACEMINHA;Restrição Beneficiário Tributário;16
MATO GROSSO;NORTELANDIA;Restrição Beneficiário Tributário;3
BAHIA;CAETITE;Restrição Beneficiário Tributário;4
SAO PAULO;IGUAPE;Penhor ;1
SAO PAULO;DOIS CORREGOS;Restrição Beneficiário Tributário;101
SAO PAULO;URUPES;Restrição Beneficiário Tributário;132
RIO GRANDE DO SUL;SAO JERONIMO;Restrição Beneficiário Tributário;10
BAHIA;JOAO DOURADO;Restrição Beneficiário Tributário;2
SAO PAULO;IBITINGA;Restrição Beneficiário Tributário;381
SAO PAULO;MARIAPOLIS;Restrição Beneficiário Tributário;12
RIO GRANDE DO SUL;SAO JOAO DA URTIGA;Restrição Beneficiário Tributário;10
RIO GRANDE DO SUL;NOVA SANTA RITA;Restrição Beneficiário Tributário;18
RIO GRANDE DO SUL;BARRA DO GUARITA;Restrição Beneficiário Tributário;1
RIO GRANDE DO SUL;RONDINHA;Restrição Beneficiário Tributário;5
MINAS GERAIS;ALAGOA;Restrição Beneficiário Tributário;1
RIO GRANDE DO SUL;JACUIZINHO;Restrição Beneficiário Tributário;1
PARANA;ARIRANHA DO IVAI;Restrição Beneficiário Tributário;11
CEARA;REDENCAO;Penhor ;3
SERGIPE;MONTE ALEGRE DE SERGIPE;Restrição Beneficiário Tributário;1
ALAGOAS;PORTO DE PEDRAS;Restrição Beneficiário Tributário;11
ALAGOAS;FELIZ DESERTO;Restrição Beneficiário Tributário;1
MINAS GERAIS;IGARAPE;Sem Restrição;26744
RIO DE JANEIRO;SAO JOAO DE MERITI;Sem Restrição;167206
MINAS GERAIS;TUPACIGUARA;Sem Restrição;19452
SAO PAULO;ASSIS;Restrição Judical;947
SAO PAULO;SERTAOZINHO;Sem Restrição;101058
SAO PAULO;MOGI-MIRIM;Sem Restrição;78300
SAO PAULO;SAO JOSE DOS CAMPOS;Restrição Judical;4933
RIO GRANDE DO SUL;CANOAS;Reserva de Domínio;3796
RIO GRANDE DO SUL;GIRUA;Sem Restrição;12416
RIO DE JANEIRO;PIRAI;Alienação Fiduciária;2585
PARANA;MARINGA;Alienação Fiduciária;113355
GOIAS;GOIATUBA;Sem Restrição;29047
SAO PAULO;SANTO ANASTACIO;Sem Restrição;15198
SANTA CATARINA;IMBUIA;Sem Restrição;5382
BAHIA;NOVA SOURE;Sem Restrição;5051
SAO PAULO;PIRASSUNUNGA;Restrição Judical;609
SAO PAULO;TUPI PAULISTA;Sem Restrição;11067
GOIAS;SITIO D'ABADIA;Sem Restrição;643
PARANA;CAPANEMA;Restrição Administrativa;218
SAO PAULO;ARTUR NOGUEIRA;Alienação Fiduciária;8706
PARANA;ITAPERUCU;Restrição Administrativa;223
SAO PAULO;MORUNGABA;Sem Restrição;11280
RIO GRANDE DO SUL;VERA CRUZ;Restrição Judical;379
RIO GRANDE DO SUL;GUAIBA;Restrição Administrativa;985
CEARA;VICOSA DO CEARA;Sem Restrição;20051
GOIAS;ABADIANIA;Restrição Administrativa;945
CEARA;FORTALEZA;Reserva de Domínio;3166
CEARA;UMIRIM;Restrição Administrativa;27
RIO GRANDE DO SUL;AUREA;Sem Restrição;2843
SAO PAULO;PIRAJU;Restrição Administrativa;1554
SAO PAULO;GARCA;Alienação Fiduciária;4533
GOIAS;NOVA AURORA;Sem Restrição;1392
RIO GRANDE DO SUL;MATO CASTELHANO;Sem Restrição;2035
RIO GRANDE DO SUL;ESTRELA;Reserva de Domínio;1442
PARANA;TUNAS DO PARANA;Sem Restrição;3743
RIO GRANDE DO SUL;PASSO FUNDO;Restrição Administrativa;1810
MINAS GERAIS;RIO PRETO;Reserva de Domínio;44
BAHIA;SAO FELIPE;Sem Restrição;6848
SAO PAULO;CRAVINHOS;Restrição Administrativa;1779
PARANA;CONTENDA;Alienação Fiduciária;3001
SAO PAULO;UBATUBA;Alienação Fiduciária;10558
PARANA;LOANDA;Restrição Judical;373
RORAIMA;ALTO ALEGRE;Sem Restrição;2438
BAHIA;VALENCA;Reserva de Domínio;2892
BAHIA;MASCOTE;Sem Restrição;1770
SANTA CATARINA;POUSO REDONDO;Alienação Fiduciária;4640
SAO PAULO;SERRA AZUL;Restrição Administrativa;344
MATO GROSSO DO SUL;CAMAPUA;Alienação Fiduciária;2784
MINAS GERAIS;OURO BRANCO;Alienação Fiduciária;5545
SAO PAULO;ITU;Restrição Judical;1008
PARANA;CORONEL VIVIDA;Alienação Fiduciária;3202
SAO PAULO;TIETE;Restrição Administrativa;1843
MATO GROSSO DO SUL;CORGUINHO;Sem Restrição;1962
GOIAS;JANDAIA;Sem Restrição;3730
BAHIA;SERROLANDIA;Sem Restrição;3783
PARANA;MANOEL RIBAS;Restrição Judical;111
SAO PAULO;TAQUARITUBA;Reserva de Domínio;100
PARANA;CAFELANDIA;Restrição Administrativa;195
BAHIA;FEIRA DE SANTANA;Restrição Administrativa;3187
RIO GRANDE DO SUL;VICTOR GRAEFF;Sem Restrição;2806
RIO GRANDE DO SUL;MULITERNO;Sem Restrição;1399
BAHIA;ALAGOINHAS;Restrição Judical;272
SAO PAULO;PITANGUEIRAS;Alienação Fiduciária;3059
GOIAS;ARUANA;Alienação Fiduciária;916
PARANA;BELA VISTA DO CAROBA;Sem Restrição;2695
PARANA;MARILANDIA DO SUL;Restrição Judical;54
SAO PAULO;BROTAS;Alienação Fiduciária;3113
MINAS GERAIS;UBA;Restrição Judical;332
BAHIA;COARACI;Restrição Administrativa;49
PARAIBA;CONDE;Sem Restrição;7976
CEARA;QUIXADA;Alienação Fiduciária;13572
BAHIA;JUAZEIRO;Alienação Fiduciária;38616
RIO DE JANEIRO;ITAOCARA;Restrição Administrativa;97
SAO PAULO;SAO ROQUE;Restrição Judical;345
RIO GRANDE DO SUL;RESTINGA SECA;Restrição Judical;151
SAO PAULO;TUIUTI;Alienação Fiduciária;502
MINAS GERAIS;BOTELHOS;Reserva de Domínio;22
CEARA;ASSARE;Alienação Fiduciária;1238
RIO GRANDE DO SUL;SARANDI;Restrição Administrativa;162
RIO GRANDE DO SUL;NOVA RAMADA;Restrição Judical;19
PARANA;NOVA CANTU;Restrição Administrativa;43
PARANA;BELA VISTA DO CAROBA;Reserva de Domínio;197
BAHIA;SAO FELIPE;Restrição Administrativa;23
MINAS GERAIS;SERRA DO SALITRE;Alienação Fiduciária;1582
PARANA;SAO JOAO;Restrição Judical;102
PERNAMBUCO;GARANHUNS;Restrição Administrativa;442
MINAS GERAIS;JUATUBA;Restrição Judical;52
PARANA;NOVA AURORA;Reserva de Domínio;210
SAO PAULO;PIRAJU;Restrição Judical;263
SAO PAULO;MIRASSOLANDIA;Alienação Fiduciária;468
BAHIA;PORTO SEGURO;Alienação Fiduciária;22328
RIO GRANDE DO SUL;BRAGA;Alienação Fiduciária;440
BAHIA;ITUBERA;Alienação Fiduciária;2069
PERNAMBUCO;PANELAS;Restrição Administrativa;35
ALAGOAS;IGREJA NOVA;Sem Restrição;5226
CEARA;IBIAPINA;Restrição Judical;11
MINAS GERAIS;CAPETINGA;Alienação Fiduciária;610
RIO GRANDE DO SUL;NOVO TIRADENTES;Alienação Fiduciária;180
CEARA;ASSARE;Restrição Administrativa;23
RIO GRANDE DO SUL;CASCA;Restrição Administrativa;71
RIO GRANDE DO SUL;RONDINHA;Alienação Fiduciária;419
PARAIBA;SERRA BRANCA;Restrição Administrativa;72
RIO GRANDE DO SUL;SANTO AUGUSTO;Restrição Administrativa;74
CEARA;ITAPIUNA;Alienação Fiduciária;1349
PARANA;GUAPOREMA;Restrição Judical;29
BAHIA;ITABUNA;Restrição Beneficiário Tributário;606
ACRE;ASSIS BRASIL;Sem Restrição;2171
SAO PAULO;PARANAPANEMA;Restrição Judical;58
PERNAMBUCO;SANHARO;Restrição Judical;17
MATO GROSSO;COLIDER;Restrição Administrativa;112
PARANA;SAO JERONIMO DA SERRA;Reserva de Domínio;27
MINAS GERAIS;SAO JOSE DA BARRA;Alienação Fiduciária;748
RIO GRANDE DO SUL;TAPES;Reserva de Domínio;461
MATO GROSSO DO SUL;PONTA PORA;Arrendamento;322
RIO DE JANEIRO;VASSOURAS;Reserva de Domínio;64
SANTA CATARINA;PASSO DE TORRES;Restrição Administrativa;51
MATO GROSSO;COLNIZA;Restrição Administrativa;39
RIO GRANDE DO SUL;TRES CACHOEIRAS;Restrição Judical;71
BAHIA;CATU;Alienação Fiduciária;5776
TOCANTINS;ALIANCA DO TOCANTINS;Alienação Fiduciária;425
GOIAS;GOIANDIRA;Alienação Fiduciária;617
SAO PAULO;CACHOEIRA PAULISTA;Restrição Judical;96
PARANA;BOA ESPERANCA DO IGUACU;Alienação Fiduciária;327
GOIAS;ITAUCU;Alienação Fiduciária;821
PERNAMBUCO;CABO DE SANTO AGOSTINHO;Restrição Administrativa;377
AMAZONAS;COARI;Reserva de Domínio;338
AMAZONAS;MANACAPURU;Restrição Judical;40
GOIAS;GUARINOS;Sem Restrição;642
PIAUI;PAQUETA;Sem Restrição;796
BAHIA;APORA;Alienação Fiduciária;831
CEARA;NOVA RUSSAS;Alienação Fiduciária;2914
RIO GRANDE DO SUL;CORONEL BARROS;Restrição Administrativa;25
